id,province,province_code,province_misa_code,district,district_code,district_misa_code,ward,ward_code,ward_misa_code
126,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Thị trấn Trạm Trôi,126,VN1013715
127,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã An Khánh,127,VN1013711
128,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã An Thượng,128,VN1013735
129,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Cát Quế,129,VN1013723
130,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Đắc Sở,130,VN1013709
131,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Di Trạch,131,VN1013701
132,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Đông La,132,VN1013713
133,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Đức Giang,133,VN1013721
134,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Đức Thượng,134,VN1013717
135,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Dương Liễu,135,VN1013705
136,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Kim Chung,136,VN1013707
137,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã La Phù,137,VN1013739
138,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Lại Yên,138,VN1013731
139,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Minh Khai,139,VN1013719
140,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Sơn Đồng,140,VN1013727
141,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Song Phương,141,VN1013703
142,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Tiền Yên,142,VN1013733
143,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Vân Canh,143,VN1013729
144,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Vân Côn,144,VN1013737
145,Hà Nội,1,VN101,Huyện Hoài Đức,6,VN10137,Xã Yên Sở,145,VN1013725
146,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Thị trấn Chi Đông,146,VN1012535
147,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Thị trấn Quang Minh,147,VN1012525
148,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Chu Phan,148,VN1012515
149,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Đại Thịnh,149,VN1012501
150,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Hoàng Kim,150,VN1012521
151,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Kim Hoa,151,VN1012503
152,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Liên Mạc,152,VN1012511
153,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Mê Linh,153,VN1012517
154,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Tam Đồng,154,VN1012529
155,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Thạch Đà,155,VN1012505
156,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Thanh Lâm,156,VN1012509
157,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Tiền Phong,157,VN1012533
158,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Tiến Thắng,158,VN1012527
159,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Tiến Thịnh,159,VN1012531
160,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Tráng Việt,160,VN1012523
161,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Tự Lập,161,VN1012507
162,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Văn Khê,162,VN1012519
163,Hà Nội,1,VN101,Huyện Mê Linh,7,VN10125,Xã Vạn Yên,163,VN1012513
164,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Thị trấn Đại Nghĩa,164,VN1014501
165,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã An Mỹ,165,VN1014507
166,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã An Phú,166,VN1014527
167,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã An Tiến,167,VN1014503
168,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Bột Xuyên,168,VN1014539
169,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Đại Hưng,169,VN1014513
170,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Đốc Tín,170,VN1014517
171,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Đồng Tâm,171,VN1014531
172,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Hồng Sơn,172,VN1014541
173,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Hợp Thanh,173,VN1014525
174,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Hợp Tiến,174,VN1014523
175,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Hùng Tiến,175,VN1014521
176,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Hương Sơn,176,VN1014519
177,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Lê Thanh,177,VN1014543
178,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Mỹ Thành,178,VN1014537
179,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Phù Lưu Tế,179,VN1014511
180,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Phúc Lâm,180,VN1014505
181,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Phùng Xá,181,VN1014529
182,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Thượng Lâm,182,VN1014533
183,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Tuy Lai,183,VN1014535
184,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Vạn Kim,184,VN1014515
185,Hà Nội,1,VN101,Huyện Mỹ Đức,8,VN10145,Xã Xuy Xá,185,VN1014509
186,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Thị trấn Phú Minh,186,VN1014921
187,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Thị trấn Phú Xuyên,187,VN1014917
188,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Bạch Hạ,188,VN1014953
189,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Châu Can,189,VN1014955
190,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Chuyên Mỹ,190,VN1014909
191,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Đại Thắng,191,VN1014931
192,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Đại Xuyên,192,VN1014949
193,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Hoàng Long,193,VN1014935
194,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Hồng Minh,194,VN1014923
195,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Hồng Thái,195,VN1014933
196,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Khai Thái,196,VN1014903
197,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Minh Tân,197,VN1014905
198,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Nam Phong,198,VN1014907
199,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Nam Tiến,199,VN1014957
200,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Nam Triều,200,VN1014939
201,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Phú Túc,201,VN1014901
202,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Phú Yên,202,VN1014951
203,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Phúc Tiến,203,VN1014945
204,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Phượng Dực,204,VN1014925
205,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Quang Lãng,205,VN1014913
206,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Quang Trung,206,VN1014937
207,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Sơn Hà,207,VN1014943
208,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Tân Dân,208,VN1014941
209,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Tri Thủy,209,VN1014911
210,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Tri Trung,210,VN1014929
211,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Văn Hoàng,211,VN1014915
212,Hà Nội,1,VN101,Huyện Phú Xuyên,9,VN10149,Xã Vân Từ,212,VN1014947
213,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Thị trấn Phúc Thọ,213,VN1013133
214,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Hát Môn,214,VN1013131
215,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Hiệp Thuận,215,VN1013143
216,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Liên Hiệp,216,VN1013145
217,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Long Xuyên,217,VN1013115
218,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Ngọc Tảo,218,VN1013141
219,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Phúc Hòa,219,VN1013123
220,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Phụng Thượng,220,VN1013125
221,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Sen Phương,221,VN1013149
222,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Tam Hiệp,222,VN1013129
223,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Tam Thuấn,223,VN1013127
224,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Thanh Đa,224,VN1013119
225,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Thọ Lộc,225,VN1013137
226,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Thượng Cốc,226,VN1013117
227,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Tích Giang,227,VN1013139
228,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Trạch Mỹ Lộc,228,VN1013121
229,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Vân Hà,229,VN1013101
230,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Vân Nam,230,VN1013105
231,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Vân Phúc,231,VN1013103
232,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Võng Xuyên,232,VN1013113
233,Hà Nội,1,VN101,Huyện Phúc Thọ,10,VN10131,Xã Xuân Đình,233,VN1013147
234,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Thị trấn Quốc Oai,234,VN1013915
235,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Cấn Hữu,235,VN1013935
236,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Cộng Hòa,236,VN1013931
237,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Đại Thành,237,VN1013903
238,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Đồng Quang,238,VN1013925
239,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Đông Xuân,239,VN1013941
240,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Đông Yên,240,VN1013913
241,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Hòa Thạch,241,VN1013939
242,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Liệp Tuyết,242,VN1013923
243,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Nghĩa Hương,243,VN1013909
244,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Ngọc Liệp,244,VN1013901
245,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Ngọc Mỹ,245,VN1013921
246,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Phú Cát,246,VN1013927
247,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Phú Mãn,247,VN1013911
248,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Phượng Cách,248,VN1013905
249,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Sài Sơn,249,VN1013917
250,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Tân Hòa,250,VN1013937
251,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Tân Phú,251,VN1013933
252,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Thạch Thán,252,VN1013907
253,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Tuyết Nghĩa,253,VN1013929
254,Hà Nội,1,VN101,Huyện Quốc Oai,11,VN10139,Xã Yên Sơn,254,VN1013919
